hangle,first_translate,idiom_translate,label,idiom
피오나에게,it’s from fiona.,to fiona,"Dear Fiona,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"어라… 저번 편지를 받은 지 얼마 안 됐는데,",huh... I just got a letter from her not too long ago.,huh... I just received a letter from him not too long ago.,it hasn’t been long since his last letter.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
이렇게 금방 또 편지를 보내다니.,I wonder why she sent another one so soon.,why is he sending me another one so soon?,why did he have to write to me again  so soon?,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"피오나, 너는 이번 일을…","fiona, have you still not...","fiona, have you...","Fiona, have you…","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
아직도,...finished...,...not finished...,…still not finished…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
다 안 끝냈냐?,...that task?,...the task I gave you?,…the job?,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"아니,","hey,",what?,"hmph,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
귀족 가문 하나 무너트리는 게 쉬운 줄 아세요?,do you think it’s easy to bring down a noble family?,do you think it’s easy to bring down a noble family?,he has no idea how hard it is to topple a noble family.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
나도 열심히 하고 있다고.,I’m doing my best here.,I’m doing my best.,flop,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"오늘, 황궁의 재무 부서로 익명의 투서를 보냈다.","today, I sent an anonymous letter to the imperial palace’s finance department...",I sent an anonymous letter to the imperial palace’s finance department today.,"I sent an anonymous letter to the imperial treasury today,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그린 가문의 불법적인 사업을 고발하는 내용으로.,...to report house green’s illegal business.,it was about house green’s illegal business.,outlining the illegal activities of the green family.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"투서의 내용이 사실로 확인되면,","once the contents of the letter are confirmed to be true,","if they find out that the letter is true,","once the content of the letter are confirmed to be true,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그린 가문의 재산은 압류당할 것이다.,house green’s fortune will be seized.,house green’s wealth will be confiscated.,the green family wealth will be confiscated.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"이러니저러니 해도 그린 가의 재산은 상당하니,","house green’s fortune is quite substantial,","house green’s wealth is quite substantial,","the green family has amassed a lot of wealth,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
황궁도 국고를 채울 좋은 기회라고 생각하지 않을까?,so the imperial palace will see this as a good opportunity to fill the national treasury.,so the imperial palace will think it’s a good opportunity to fill the national treasury.,and I’m sure the imperial court will think of it as a good opportunity to fill the national treasury.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그리고 이틀 뒤-,two days later...,two days later,two days later…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"젠 오빠,","zen,","zen,","my dear brother zen,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
가주가 되신 것 축하드려요.,congratulations on becoming the head of the family.,congratulations on becoming the head of the family.,congratulations on becoming the next heir to the family fortune!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
아직 임시이긴 하지만 말이다.,though it’s only temporary.,I’m just the temporary head.,it hasn’t been confirmed yet.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"그래도,","still,","still,","nonetheless,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
작은오빠가 아니면 누가 가주 자리에 오르겠어요?,who else would take that position if not you?,who else would take that position if not you?,who better than you to become the next head of house green?,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
뭐…,well...,well...,"well,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그렇기도 하지.,that’s true.,I guess you’re right.,I suppose you are right.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그리고 이건 전에 말했던 서류예요.,"also, this is the document I mentioned before.",here are the documents I mentioned last time.,here are the documents I mentioned before.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
여기에 인장을 찍어주시면 전 호적에서 정리되어요.,"if you stamp your seal here, I’ll be removed from the family register.","if you stamp them, I’ll be removed from the family register.","you just need to stamp the seal here, and I’ll be removed from the family registry.","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"아, 그래…","ah, yes...","oh, okay...","oh, right…","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
