원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
대피하라!,evacuate!,Evacuate!,3
어둠에 절대 닿으면 안된다!,don’t let the darkness touch you!,You must never touch the darkness!,2
성녀님은 어디 계시지?!,where is the saint?,Where is the Saint?,3
오셨다!,she’s here!,She's here!,2
성녀님이 돌아오셨다!,the saint has returned!,The Saint has returned!,3
"자, 영애.","my lady,",My lady.,3
여기서부터는 기사를 따라 대피하세요.,please follow the knights and evacuate.,Please follow the knight and evacuate.,1
"기사들, 성녀님을 확실히 호위하도록 해!","knights, make sure to protect the saint!","Knights, ensure the saint's safe escort!",1
알겠습니다!,"yes, sir!",Understood!,1
그럼 저는 이만…,then I’ll be on my way--,"Then, I’ll take my leave…",2
잠깐만요!,wait!,Wait a moment!,1
"영애, 어둠이 다가오는 쪽으로 돌아갈 생각이신가요?","my lady, are you going back toward the darkness?","My lady, are you thinking of going back toward the darkness?",2
본부에 아직 남아 있는 사람이 있을지도 모르니까요.,there may still be people left at the base.,There may still be people left at the headquarters.,1
곧 돌아올 테니 걱정 마시고…,"I’ll be back soon, so don’t worry--","I’ll be back soon, so don’t worry.",2
무언가가 영애를 죽이려고 해요!,something is trying to kill you!,"Something is trying to kill you, my lady!",2
…네?,what?,…Huh?,3
저에겐 무언가가 느껴져요.,I can feel it.,I can feel something.,1
"무언가,",something…,"Something,",3
어둠 속에 있어요…,…is in the darkness…,Something is in the darkness…,1
피오나 헤일론 님!,lady fiona heylon!,fiona heylon!,1
도와주세요!,help!,Help me!,2
동료가 본부 안에 고립되어 있어요!,my partner is trapped inside the base!,A comrade is trapped inside the headquarters!,1
"미안해요, 유니스.","I’m sorry, eunice.","I'm sorry, Eunice.",2
이야기는 나중에 해요!,I’ll explain later!,We’ll talk later!,2
…아!,oh!,...Ah!,2
피오나 영애!,lady fiona!,lady fiona!,3
"덕분에 살았습니다, 마법사님!","thank you for saving me, magician!","I owe you my life, magician!",1
어둠과 마수가 몰려와서 꼼짝없이 죽는 줄로만 알았어요!,I thought I was going to die when the darkness and demons came!,I thought I was doomed when the darkness and monsters swarmed in!,1
감사 인사라면 권터에게 해주세요!,please thank gunter!,"If you're going to thank someone, thank Gunter!",1
이 위험한 곳에도 따라와 줬잖아요.,he followed me to this dangerous place.,He even came along to this dangerous place.,2
"그보다, 정말 이제 남은 사람은 없는 거죠?","by the way, are you sure there’s no one left?","More importantly, are you sure there's no one left?",2
네! 제가 마지막이에요!,yes! I’m the last one!,Yes! I’m the last one!,3
다행이다.,that’s a relief.,That's a relief.,3
이제 돌아가기만 하면…,now we just have to go back--,Now we just have to go back…,1
"이런,","oh no,","Oh no,",3
몬스터가!,a monster!,Monster!,1
아가씨!,my lady!,My lady!,3
"빠르게 달려, 권터!","run fast, gunter!","Run quickly, Gunter!",1
규모가 큰 마법을 쓸 거야!,I’m going to use a large-scale spell!,I'm going to use a large-scale spell!,2
괜찮나?,are you all right?,Are you all right?,3
마법사님!!,magician!,Mage!,1
이 정도야 뭐.,this is nothing.,This is nothing.,3
위험하니까 어서 출발해요!,"it’s dangerous, so let’s go!","It’s dangerous, so hurry and go!",2
아가씨!,my lady!,My lady!,3
뒤!!,behind you!,Behind you!,3
말도 안 돼.,no way.,That’s impossible.,2
이렇게 빠르게 다가왔다고?,it came this close already?,It got this close so quickly?,1
이런 어둠은 처음 봐…,I’ve never seen darkness like this before…,I've never seen darkness like this before...,2
피오나 헤일론!,fiona heylon!,fiona heylon!,3
마법사님!,magician!,Mage!,1
숨을 쉴 수가 없어…,I can’t breathe…,I can't breathe...,2
심장을 바위가 짓누르는 것 같아.,it feels like a boulder is crushing my heart.,It feels like a boulder is crushing my heart.,3
머리가 너무 아파.,my head hurts so much.,My head hurts so much.,3
어떡하지.,what do I do?,What should I do?,1
정신을 놓을 것 같아…,I’m going to pass out…,I feel like I'm losing consciousness…,1
거기에 있는 거야?,are you there?,Is something there?,1
뭐?,what?,What?,3
있는 거지?,"you’re there, right?","You're there, aren't you?",1
확인해도 돼?,can I check?,Can I check?,3
이건 뭐지?,what is this?,What is this?,3
만져봐도 돼?,can I touch it?,Can I touch it?,3
사람?,a person?,A person?,3
이게 유니스가 말했던 ‘무언가’?,is this the “something” eunice was talking about?,"Is this the ""something"" Eunice was talking about?",1
"아, 안돼.",no…,"Oh, no.",2
숨이…,I can’t breathe…,Breath...,1
"전하, 위험하오니 안쪽에서 기다리시지요?","your highness, it’s dangerous. please wait inside.","Your Highness, it is dangerous. Please wait inside.",2
잠깐 다녀오겠다.,I’ll be right back.,I’ll be right back.,3
예? 어딜…,what? where are you going…?,Huh? Where are you going…?,1
피오나를 찾으러!!!,I’m going to find fiona!!!,I'm going to find Fiona!!!,2
